iter	Passed	Remaining
0	271	53943
1	569	56397
2	754	49538
3	865	42425
4	996	38850
5	1117	36136
6	1288	35519
7	1416	33995
8	1512	32105
9	1625	30877
10	1738	29869
11	1873	29344
12	2021	29080
13	2250	29901
14	2378	29338
15	2513	28901
16	2622	28233
17	2723	27542
18	2814	26810
19	2911	26207
20	3049	25990
21	3153	25518
22	3284	25278
23	3401	24943
24	3490	24432
25	3577	23942
26	3665	23484
27	3769	23157
28	3854	22729
29	3957	22426
30	4063	22151
31	4159	21836
32	4254	21532
33	4349	21234
34	4438	20924
35	4508	20538
36	4599	20264
37	4715	20102
38	4790	19775
39	4877	19509
40	4968	19268
41	5078	19103
42	5201	18991
43	5305	18810
44	5434	18717
45	5516	18467
46	5599	18228
47	5719	18113
48	5855	18043
49	5998	17995
50	6283	18357
51	6418	18267
52	6500	18028
53	6576	17781
54	6671	17588
55	6745	17345
56	6824	17120
57	6921	16946
58	7049	16847
59	7157	16700
60	7294	16620
61	7398	16467
62	7531	16378
63	7615	16182
64	7691	15974
65	7788	15813
66	7919	15721
67	8030	15589
68	8142	15458
69	8245	15312
70	8328	15132
71	8417	14964
72	8492	14773
73	8594	14633
74	8684	14474
75	8761	14295
76	8839	14119
77	8951	14001
78	9070	13892
79	9151	13727
80	9225	13553
81	9300	13383
82	9386	13231
83	9478	13090
84	9570	12948
85	9666	12813
86	9782	12706
87	9850	12537
88	9928	12382
89	10038	12268
90	10121	12123
91	10201	11975
92	10275	11822
93	10347	11668
94	10432	11530
95	10513	11389
96	10612	11269
97	10699	11136
98	10771	10989
99	10852	10852
100	10925	10709
101	10994	10563
102	11077	10432
103	11170	10311
104	11266	10193
105	11349	10065
106	11422	9927
107	11496	9793
108	11573	9662
109	11655	9536
110	11751	9422
111	11855	9314
112	11943	9195
113	12026	9072
114	12138	8972
115	12217	8847
116	12315	8736
117	12411	8625
118	12490	8501
119	12579	8386
120	12694	8288
121	12778	8170
122	12859	8050
123	12932	7926
124	13035	7821
125	13131	7712
126	13215	7596
127	13290	7476
128	13378	7363
129	13479	7258
130	13571	7148
131	13644	7029
132	13721	6912
133	13802	6798
134	13918	6701
135	14036	6605
136	14121	6494
137	14202	6380
138	14291	6271
139	14369	6158
140	14455	6048
141	14550	5943
142	14640	5835
143	14715	5722
144	14787	5608
145	14880	5503
146	14969	5397
147	15072	5295
148	15168	5191
149	15236	5078
150	15307	4967
151	15386	4858
152	15468	4751
153	15550	4644
154	15662	4547
155	15770	4448
156	15854	4342
157	15924	4233
158	15997	4125
159	16080	4020
160	16161	3914
161	16252	3812
162	16368	3715
163	16455	3612
164	16554	3511
165	16646	3409
166	16728	3305
167	16826	3204
168	16916	3103
169	16989	2998
170	17069	2894
171	17188	2798
172	17272	2695
173	17350	2592
174	17496	2499
175	17602	2400
176	17676	2296
177	17749	2193
178	17828	2091
179	17925	1991
180	18020	1891
181	18088	1789
182	18165	1687
183	18236	1585
184	18339	1487
185	18430	1387
186	18513	1287
187	18619	1188
188	18708	1088
189	18828	990
190	18921	891
191	19001	791
192	19090	692
193	19167	592
194	19244	493
195	19335	394
196	19428	295
197	19506	197
198	19590	98
199	19673	0
